,0
0,l6m8lg-Cunda-Meyhanesi
1,1hd4pr-El-Emegi-Unlu-Mamulleri
2,c6egm6-Doruk-Cafe
3,fpay5i-Divan-Cafe
4,pm5ncr-Flavor-Inn
5,8r7fr7-Eftalia-Splash-Resort-Pool-Bar
6,92y75m-Hacioglu-Lahmacun-Umraniye
7,h3apt8-Gunaydin-Kebap-Salonu
8,u6tr7x-HookaH
9,qufon7-irem-yufka
10,xjzr0m-feri-time
11,kfxstj-Genclik-Merkezi-Dikili
12,rv7kto-Elida-Cafe
13,6whvag-Family-Cafe
14,vfhmu4-Hilal-Hanim-Kahve-Cafe
15,yr5lli-KOSEBASI-ET-RESTAURANT
16,r7zcao-Firin-Pepito
17,cq52ll-Esnaf-Sofrasi
18,b9j1xf-Hancerli-cini-kahvesi
19,ohl6kt-ESINTI-CAFE
20,74h5xr-Dikmen-Pastanesi
21,m2ze2u-Cigerci-Zumrut-Usta
22,jxmbm5-Coskun-Et-Urunleri-Doner
23,wgioph-Ispanyol-Kultur-Mucho-Gusto-Caf
24,l5vis8-Diyar-Cafe
25,w927kp-Gaye-Gevrek-boyoz-Center
26,uh2q4p-Falezlerdeki-Seyir-Kafe
27,l49p90-Esen-Cafe
28,0twsna-Dejavu
29,ccjqc0-Hasir-Ocakbasi
30,pt31ck-Eren-Aile-Cay-Bahcesi
31,44pvt7-Degirmen-Pastanesi
32,rzv8uf-Hollywood-Cafe
33,j7nxyk-Giardino-Bello-Patisserie-Boulangerie
34,psw30a-doga-spor-kulubu
35,66vnop-Gul-Kasabi-Kebapcisi
36,xcwpf5-Guvercinlik-Karabalik-Restorant
37,6pw7xn-Ixtanbul-TERAS-Kafe
38,fmge2x-DShamuristanbul
39,aiokf5-Hacivat
40,670m4k-Dallas-Restaurant
41,j5v5l3-Gokka-Cafe-Restaurant
42,s6wf9w-deniz-kafeterya
43,yeaedp-Hartoshi-Cafe
44,9ecf0m-Hos-Bes-Cafe
45,lma7wk-Ekler-Cenneti-BUTIK-CAF
46,8eb2r7-halime-abla
47,9pxcrd-Gel-Tat-Pastanesi
48,qcnr59-Haci-Moons
49,c2bso6-Havzan-Etliekmek-6-Oval-Carsi-Subesi
50,nbb2mq-Idosb-Meydan-Bufe
51,vr5aty-Cafes-LARA-Bistro-Nargile
52,aqdz8a-Ihlamur-Agaci
53,fh0jy2-Fit-Escapes
54,9euxga-Erkonyalilar-Etliekmek-Ve-Firin-Kebap
55,00q8er-Hilton-Bursa-Brasserie-Restaurant
